award_piid,pe_bli,adjudicated_confidence,award_verdict,pair_reason,basis,evidence,note,refuter_lenses_passed
FA807516D0001,0602303E,low,not_darpa,account-only,,,"DoD IAC Cyber Security Technical Area Task umbrella IDIQ (774 ESS/DTIC vehicle serving all DoD). Base contract, no DARPA content.",
FA807516D0009,0602025E,low,not_darpa,account-only,,,"Same DoD IAC CS TAT umbrella IDIQ (774 ESS/DTIC vehicle). Base contract, no DARPA content.",
FA807516D0009,0602303E,low,not_darpa,account-only,,,"Same DoD IAC CS TAT umbrella IDIQ (774 ESS/DTIC vehicle). Base contract, no DARPA content.",
FA807517F0001,0602025E,reject,contradicted,contradicted,,CYBER SECURITY AND INFORMATION SYSTEMS INFORMATION ANALYSIS CENTER (CSIAC) BASIC CENTER OPERATIONS,"CSIAC Basic Center Operations — DTIC's DoD Information Analysis Center program, not DARPA. CSIAC absent from all 24 PE narratives.",
FA807517F0001,0602303E,reject,contradicted,contradicted,,CYBER SECURITY AND INFORMATION SYSTEMS INFORMATION ANALYSIS CENTER (CSIAC) BASIC CENTER OPERATIONS,"CSIAC Basic Center Operations — DTIC's DoD Information Analysis Center program, not DARPA. CSIAC absent from all 24 PE narratives.",
FA807517F1138,0603760E,reject,contradicted,contradicted,,COMMUNICATIONS ELECTRONICS COMMAND (CECOM) SOFTWARE ENGINEERING CENTER (SEC) ARMY REPROGRAMMING ANALYSIS TEAM (ARAT),Army CECOM SEC ARAT electronic-warfare reprogramming. 'Reprogramming' hit in 0602716E is about self-reprogramming RTRA processors — coincidental.,
FA807517F1138,0602716E,reject,contradicted,contradicted,,COMMUNICATIONS ELECTRONICS COMMAND (CECOM) SOFTWARE ENGINEERING CENTER (SEC) ARMY REPROGRAMMING ANALYSIS TEAM (ARAT),Army CECOM SEC ARAT electronic-warfare reprogramming. 'Reprogramming' hit in 0602716E is about self-reprogramming RTRA processors — coincidental.,
FA807517F1209,0602702E,reject,contradicted,contradicted,,"ADVANCEMENT OF FORCE PROTECTION SYSTEMS (AFPS), NIGHT VISION AND ELECTRONIC SENSORS DIRECTORATE (NVESD) AND THE NAVAL SURFACE WARFARE CENTER (NSWC) CRANE",Army NVESD and Navy NSWC Crane force-protection work on the IAC TAT vehicle. Not DARPA.,
FA807517F1308,0602025E,reject,contradicted,contradicted,,"ISR WEAPON SYSTEMS WITH TECHNOLOGY INSERTION (IWSTI)... AIR FORCE INTELLIGENCE, SURVEILLANCE AND RECONNAISSANCE (ISR) INNOVATION (AF/A2I) DIRECTORATE",Air Force AF/A2I ISR Innovation Directorate program. Not DARPA.,
FA807517F1310,0602702E,reject,contradicted,contradicted,,"AUTONOMOUS AND AUTOMATED WEAPON SYSTEM DESIGN... FOR NAVAL SURFACE WARFARE CENTER, PANAMA CITY DIVISION (NSWC PCD)",Navy NSWC Panama City Division engineering work. Not DARPA.,
FA807517F1324,0602702E,reject,contradicted,contradicted,,ANTI-TAMPER (AT) TECHNOLOGY PROTECTION NAVAL AIR WARFARE CENTER (NAWC) CHINA LAKE/TECHNICAL WARRANT HOLDER,Navy NAWC China Lake anti-tamper technology protection (DoD AT program). Anti-tamper absent from all 24 PE narratives.,
FA807517F1370,0602303E,reject,contradicted,contradicted,,MODELING AND DATA ANALYTICS RESEARCH AND ANALYSES SUPPORT FOR DOD CIO,"DoD CIO cyber/critical-infrastructure analytics support on the IAC TAT vehicle. Customer is DoD CIO, not DARPA.",
FA807517F1370,0602025E,reject,contradicted,contradicted,,MODELING AND DATA ANALYTICS RESEARCH AND ANALYSES SUPPORT FOR DOD CIO,"DoD CIO cyber/critical-infrastructure analytics support on the IAC TAT vehicle. Customer is DoD CIO, not DARPA.",
FA807517F1386,0603760E,reject,contradicted,contradicted,,FORCE PROTECTION / INTEGRATED BASE DEFENSE SECURITY SYSTEM PROGRAM OFFICE,Air Force Integrated Base Defense Security System program office C2 display requirements. Not DARPA.,
FA807517F1448,0602025E,reject,contradicted,contradicted,,"SUPPLY CHAIN MANAGEMENT SQUADRON (409 SCMS/GUEA), AIR FORCE SUSTAINMENT CENTER (AFSC), AIR FORCE MATERIEL COMMAND",USAF 409 SCMS/AFSC/AFMC aircraft product support and sustainment. Not DARPA.,
FA807518F1290,0602702E,reject,contradicted,contradicted,,"AIRBORNE ELECTRONIC WARFARE & SURVEILLANCE SYSTEMS SUPPORT FOR NAVAL SURFACE WARFARE CENTER, CRANE DIVISION... (AEASD)",Navy NSWC Crane Airborne Electronic Attack Systems Division support. CRANE hits in DARPA narratives are the unrelated aircraft-controls program.,
FA807518F1508,0602025E,reject,contradicted,contradicted,,(LCMC-SEP-OSS&E) PROGRAM (DLP)US AIR FORCE 414TH SUPPLY CHAIN MANAGEMENT SQUADRON,USAF 414 SCMS life-cycle management/OSS&E improvement program. Not DARPA.,
FA807518F1558,0602303E,reject,contradicted,contradicted,,"SUPPORT OF AIR FORCE LIFE CYCLE MANAGEMENT CENTER COMMAND, CONTROL, COMMUNICATIONS AND INTELLIGENCE INFRASTRUCTURE DIVISION",AFLCMC C3I Infrastructure Division cyber support. Not DARPA.,
FA807518F1558,0603760E,reject,contradicted,contradicted,,"SUPPORT OF AIR FORCE LIFE CYCLE MANAGEMENT CENTER COMMAND, CONTROL, COMMUNICATIONS AND INTELLIGENCE INFRASTRUCTURE DIVISION",AFLCMC C3I Infrastructure Division cyber support. Not DARPA.,
FA807518F1579,0602702E,reject,contradicted,contradicted,,"SPACE AND NAVAL WARFARE SYSTEMS CENTER ATLANTIC, CODE 70D00",Navy SPAWAR Systems Center Atlantic customer. 'Transformational technology' is generic; no DARPA program named.,
FA807518F1597,0603760E,reject,contradicted,contradicted,,SYNTHETIC ENABLING TRAINING TECHNOLOGIES FOR THE OFFICE OF NAVAL RESEARCH... NAVY CONTINUOUS TRAINING ENVIRONMENT,ONR / Navy Continuous Training Environment cyber-effects and M&S training work. Not DARPA.,
FA807518F1597,0603469E,reject,contradicted,contradicted,,SYNTHETIC ENABLING TRAINING TECHNOLOGIES FOR THE OFFICE OF NAVAL RESEARCH... NAVY CONTINUOUS TRAINING ENVIRONMENT,ONR / Navy Continuous Training Environment cyber-effects and M&S training work. Not DARPA.,
FA807518F1597,0602303E,reject,contradicted,contradicted,,SYNTHETIC ENABLING TRAINING TECHNOLOGIES FOR THE OFFICE OF NAVAL RESEARCH... NAVY CONTINUOUS TRAINING ENVIRONMENT,ONR / Navy Continuous Training Environment cyber-effects and M&S training work. Not DARPA.,
FA807518F1597,0602025E,reject,contradicted,contradicted,,SYNTHETIC ENABLING TRAINING TECHNOLOGIES FOR THE OFFICE OF NAVAL RESEARCH... NAVY CONTINUOUS TRAINING ENVIRONMENT,ONR / Navy Continuous Training Environment cyber-effects and M&S training work. Not DARPA.,
FA807518F1622,0603766E,reject,contradicted,contradicted,,"IRREGULAR WARFARE ANALYSIS SUPPORT FOR JOINT STAFF J7 (JS J7), OFFICE OF IRREGULAR WARFARE",Joint Staff J7 Office of Irregular Warfare analysis support. Not DARPA; no narrative hit.,
FA807518F1623,0602702E,reject,contradicted,contradicted,,NSWC CRANE FOR SUSTAINMENT AND DEVELOPMENT OF MANNED AND UNMANNED AIRBORNE WEAPON SYSTEMS... IN SUPPORT OF NAVAL AIR SYSTEMS COMMAND,Navy NSWC Crane / NAVAIR airborne weapon systems sustainment. Not DARPA.,
FA807518F1625,0603766E,reject,contradicted,contradicted,,NAVAL AIR SYSTEMS COMMAND MARITIME PATROL AND RECONNAISSANCE AIRCRAFT AIRBORNE MULTI INTELLIGENCE SPECIAL MISSIONS PROGRAM OFFICE 290,NAVAIR PMA-290 maritime patrol/recon aircraft sustainment via NSWC Crane. Not DARPA.,
FA807518F1625,0602702E,reject,contradicted,contradicted,,NAVAL AIR SYSTEMS COMMAND MARITIME PATROL AND RECONNAISSANCE AIRCRAFT AIRBORNE MULTI INTELLIGENCE SPECIAL MISSIONS PROGRAM OFFICE 290,NAVAIR PMA-290 maritime patrol/recon aircraft sustainment via NSWC Crane. Not DARPA.,
FA807518F1626,0602702E,reject,contradicted,contradicted,,EXERCISE SUPPORT FOR BALLISTIC MISSILE DEFENSE... FOR NAVAL SURFACE WARFARE CENTER CORONA (NSWCCO),Navy NSWC Corona weapon-systems assessment and LVC exercise support. Not DARPA.,
FA807518F1652,0602702E,reject,contradicted,contradicted,,E-2/C-2 AIRBORNE TACTICAL... IN SUPPORT OF NAVAL AIR SYSTEMS COMMAND E-2/C-2 AIRBORNE TACTICAL DATA SYSTEM PROGRAM OFFICE,NAVAIR E-2/C-2 program office support via NSWC Crane. Not DARPA.,
FA807518F1655,0603760E,reject,contradicted,contradicted,,"SPECIAL OPERATIONS TECHNICAL CAPABILITIES PLATFORM, UNITED STATES SPECIAL OPERATIONS COMMAND/JOINT COMMUNICATIONS INTEGRATION ELEMENT",USSOCOM/JCIE technical capabilities platform. Not DARPA.,
FA807518F1661,0602702E,reject,contradicted,contradicted,,"ADVANCEMENT OF FORCE PROTECTION SYSTEMS, NIGHT VISION AND ELECTRONIC SENSORS DIRECTORATE AND THE NAVAL SURFACE WARFARE CENTER CRANE DIVISION",Army NVESD and Navy NSWC Crane force-protection systems work. Not DARPA.,
FA807518F1690,0602303E,reject,contradicted,contradicted,,EXPLAINABLE ARTIFICIAL INTELLIGENT APPLICATIONS... AIR FORCE RESEARCH LABORATORY 711TH HUMAN PERFORMANCE WING... (711HPW/RHC),"AFRL 711 HPW/RHC warfighter-interface AI visualization task. 'Explainable' in DARPA narratives is a generic trustworthy-AI adjective, not this program; customer is AFRL.",
FA807518F1690,0602025E,reject,contradicted,contradicted,,EXPLAINABLE ARTIFICIAL INTELLIGENT APPLICATIONS... AIR FORCE RESEARCH LABORATORY 711TH HUMAN PERFORMANCE WING... (711HPW/RHC),"AFRL 711 HPW/RHC warfighter-interface AI visualization task. 'Explainable' in DARPA narratives is a generic trustworthy-AI adjective, not this program; customer is AFRL.",
FA807518F1697,0602025E,reject,contradicted,contradicted,,NAVAL AVIATION LOGISTICS IT SOLUTIONS... OFFICE OF THE UNDER SECRETARY OF DEFENSE COMPTROLLER OUSD(C)/BUSINESS INTEGRATION OFFICE,OUSD(Comptroller) audit-analytics / naval aviation logistics IT project. Not DARPA.,
FA807518F1752,0602303E,low,not_darpa,account-only,,,"Generic NIPRNET/SIPRNET cyber-security architecture review threat-framework training on the IAC TAT vehicle. No customer named, no DARPA content.",
FA807518F1752,0602025E,low,not_darpa,account-only,,,"Generic NIPRNET/SIPRNET cyber-security architecture review threat-framework training on the IAC TAT vehicle. No customer named, no DARPA content.",
FA807518F1796,0603760E,low,not_darpa,account-only,,,"Single generic phrase 'Command and control technical integration' on the IAC TAT vehicle; no agency, program, or DARPA indication.",
FA807519FA004,0602702E,reject,contradicted,contradicted,,"MATERIAL ANALYSIS FOR UNDERSEA PAYLOADS, NAVAL UNDERSEA WARFARE CENTER (NUWC)",Navy NUWC undersea payload material analysis. Not DARPA.,
FA807519FA022,0603760E,reject,contradicted,contradicted,,"CYBERSECURITY SUPPORT FOR COMMAND AND CONTROL (C2) AND NETWORKED SYSTEMS COMMANDER, US PACIFIC FLEET (PACFLT) AND PACIFIC MISSILE RANGE FACILITY (PMRF)",Navy COMPACFLT/PMRF cybersecurity support via AF assisted-acquisition office; no DARPA content. 0603760E tag is generic C2-word overlap.,
FA807519FA028,0602702E,reject,contradicted,contradicted,,"FOR NAVAL AIR WARFARE CENTER, AIRCRAFT DIVISION (NAWCAD) ADVANCED CONCEPTS&RAPID TRANSITION DIVISION (AD-4.11.6)",NAWCAD's own aircraft-integration rapid RDT&E division work; nothing names DARPA. 0602702E tag rests on generic aero/tactical words.,
FA807519FA037,0602025E,reject,contradicted,contradicted,,ENGINEERING DIRECTORATE (AFLCMC/EN-EZ) CYBER SECURITY SYSTEMS ENGINEERING PRODUCT SUPPORT,"AFLCMC engineering-directorate cyber systems-engineering product support (AF life-cycle center), not DARPA. Cyber-word overlap only.",
FA807519FA037,0602303E,reject,contradicted,contradicted,,ENGINEERING DIRECTORATE (AFLCMC/EN-EZ) CYBER SECURITY SYSTEMS ENGINEERING PRODUCT SUPPORT,"AFLCMC engineering-directorate cyber systems-engineering product support (AF life-cycle center), not DARPA. Cyber-word overlap only.",
FA807519FA041,0602702E,reject,contradicted,contradicted,,"NAVAL AIR WARFARE CENTER AIRCRAFT DIVISION (NAWCAD) DIGITAL THREAD SYSTEM ANALYSIS, INTEGRATION, DEVELOPMENT, AND DEPLOYMENT","NAWCAD digital-thread engineering work; no DARPA naming, no narrative hit.",
FA807519FA043,0602702E,reject,contradicted,contradicted,,"ELECTRO-OPTIC INFRARED SYSTEMS FOR THE ELECTRO-OPTIC TECHNOLOGY DIVISION (EOTD), NAVAL SURFACE WARFARE CENTER (NSWC), CRANE DIVISION","NSWC Crane EOTD sustainment/development; Navy lab's own program, not DARPA.",
FA807519FA045,0602303E,reject,contradicted,contradicted,,"SPECIAL OPERATIONS TECHNICAL CAPABILITIES PLATFORM FOR UNITED STATES SPECIAL OPERATIONS COMMAND, JOINT COMMUNICATIONS INTEGRATION ELEMENT","USSOCOM JCIE cyber-data prototype platform; customer is USSOCOM, not DARPA.",
FA821815D0001,0603760E,reject,contradicted,contradicted,,COMMAND AND CONTROL SWITCHING SYSTEM (CCSS) DEPOT LOGISTIC SERVICES (DLS) CONTRACT,"Depot logistics for the fielded legacy CCSS C2 switch (AFLCMC WNRK sustainment IDV); O&S work, not DARPA RDT&E. 0603760E is C2-word overlap.",
FA821819F0044,0603760E,reject,contradicted,contradicted,,COMMAND AND CONTROL SWITCH SYSTEM CONTRACT REPAIRS TASK ORDER FOR JITC.,"CCSS repair task for DISA's Joint Interoperability Test Command; sustainment of a fielded system, not DARPA.",
FA821819F0048,0603760E,reject,contradicted,contradicted,,COMMAND AND CONTROL SWITCH SYSTEM CONTRACT TASK ORDER TO VIRTUALIZE THE CONFERENCE MANAGEMENT AGENT.,"CCSS sustainment/upgrade task under the AFLCMC depot-logistics vehicle, not DARPA.",
FA821819F0074,0603760E,reject,contradicted,contradicted,,COMMAND AND CONTROL SWITCH SYSTEM CONTRACT SPARES PURCHASE FOR VARIOUS SITES.,"CCSS spares buy for fielded sites; sustainment, not DARPA.",
FA821819F0076,0603760E,reject,contradicted,contradicted,,COMMAND AND CONTROL SWITCH SYSTEM CONTRACT REPAIRS TASK ORDER FOR MDIOC,"CCSS repairs for the Missile Defense Integration and Operations Center; sustainment for MDA site, not DARPA.",
FA857119CA004,0605502E,reject,contradicted,contradicted,,US ARMY ESTCP PROJECT TMR 19-01 LHE ALKALINE ZN-NI ALTERNATIVE TO CD FOR CCAD - FATIGUE TEST PREP&HRE TESTING,Army/OSD ESTCP cadmium-replacement plating project for Corpus Christi Army Depot; SBIR Phase II but not DARPA's SBIR line (0605502E unsupported).,
FA865014D6500,0602303E,low,not_darpa,account-only,,,"HIRT (Human Interface Research Technologies) is AFRL Wright-Patterson human-systems research (FA8650 origin, DCS Corp); no DARPA naming, no narrative hit for HIRT in any candidate PE.",
FA865016C9205,0605502E,low,not_darpa,account-only,,,"AFRL RRTAS SBIR Phase III vehicle (tasks incl. Support Jammer Cueing = AF EW); no DARPA naming, no RRTAS narrative hit. 0605502E tag rests only on the word SBIR.",
FA865016F5263,0601122E,low,not_darpa,account-only,,,"SCAMP structural-composites/additive-manufacturing research for AFRL materials directorate; no DARPA naming, no SCAMP narrative hit.",
FA865017C5282,0602025E,low,not_darpa,account-only,,,"AFRL hypersonic-vehicle materials M&P work (2017, predates DARPA MACH); no program name links to DARPA; hypersonic/materials overlap with 0602025E/0602715E is generic.",
FA865017C5282,0602715E,low,not_darpa,account-only,,,"AFRL hypersonic-vehicle materials M&P work (2017, predates DARPA MACH); no program name links to DARPA; hypersonic/materials overlap with 0602025E/0602715E is generic.",
FA865017C6807,0603760E,reject,contradicted,contradicted,,HETEROGENEOUS-UAS INTEGRATION FOR SINGLE OPERATOR VIGILANT CONTROL STATION (VSCS) ENVIRONMENT (HIVE),"VSCS is AFRL's Vigilant Spirit Control Station (711 HPW multi-UAS operator-station research); AFRL's own program, not DARPA.",
FA865017F5410,0602715E,low,not_darpa,account-only,,,SOFT (Soft Organic Functional Technology) synthetic-biology/bio-materials research for AFRL materials directorate; no DARPA naming; 0602715E bio-materials overlap is generic.,
FA865017F5418,0602715E,low,not_darpa,account-only,,,"NEMO RF-electronics/quantum-semiconductor materials M&P for AFRL; no DARPA naming, no NEMO narrative hit; three-PE tag is generic materials/electronics overlap.",
FA865017F5418,0602025E,low,not_darpa,account-only,,,"NEMO RF-electronics/quantum-semiconductor materials M&P for AFRL; no DARPA naming, no NEMO narrative hit; three-PE tag is generic materials/electronics overlap.",
FA865017F5418,0601101E,low,not_darpa,account-only,,,"NEMO RF-electronics/quantum-semiconductor materials M&P for AFRL; no DARPA naming, no NEMO narrative hit; three-PE tag is generic materials/electronics overlap.",
FA865018C1607,0603767E,low,not_darpa,account-only,,,"ASPR (Advanced Sensor Processing Research) for AFRL sensors directorate; no DARPA naming, no ASPR narrative hit; 0603767E 'sensor' overlap is generic.",
FA865019C6036,0602303E,low,not_darpa,account-only,,,"A2I2 do-it-yourself-AI research awarded by AFRL (Kitware); no DARPA naming, no A2I2/DIY-AI narrative hit; AI-project overlap with 0602303E/0602025E is generic.",
FA865019C6036,0602025E,low,not_darpa,account-only,,,"A2I2 do-it-yourself-AI research awarded by AFRL (Kitware); no DARPA naming, no A2I2/DIY-AI narrative hit; AI-project overlap with 0602303E/0602025E is generic.",
FA865019C6897,0605502E,high,pinned,pinned-here,description-explicit,PATHFINDER DEFENSE ADVANCED RESEARCH PROJECTS AGENCY SMALL BUSINESS INNOVATIVE RESEARCH PHASE TWO NEW CONTRACT,Description explicitly names a DARPA SBIR Phase II; DARPA SBIR funds flow under 0605502E (AFRL acting as contracting agent).,2
FA865019C9203,0605502E,low,not_darpa,account-only,,,"MONARCH SBIR Phase III awarded by AFRL (DZYNE); Phase III uses mission funds, not the SBIR PE, and nothing names DARPA; no MONARCH narrative hit.",
FA865019F5205,0602025E,low,not_darpa,account-only,,,"CHAMMP metallic-materials processing/characterization plus ceramics for AFRL materials directorate; no DARPA naming, no narrative hit.",
FA865019F5205,0602715E,low,not_darpa,account-only,,,"CHAMMP metallic-materials processing/characterization plus ceramics for AFRL materials directorate; no DARPA naming, no narrative hit.",
FA865019F5499,0602025E,low,not_darpa,account-only,,,Optical-materials survivability/ceramics research for AFRL materials directorate; no DARPA naming; materials-word overlap only.,
FA865019F5499,0602715E,low,not_darpa,account-only,,,Optical-materials survivability/ceramics research for AFRL materials directorate; no DARPA naming; materials-word overlap only.,
FA865019F5602,0602025E,low,not_darpa,account-only,,,AFRL Quick Reaction Evaluation III electronic-materials evaluation task; no DARPA naming; generic materials overlap.,
FA865019F5602,0601101E,low,not_darpa,account-only,,,AFRL Quick Reaction Evaluation III electronic-materials evaluation task; no DARPA naming; generic materials overlap.,
FA865113C0157,0603767E,low,not_darpa,account-only,,,"Air-dropped remotely operated sensors SBIR (McQ) for AFRL munitions directorate (Eglin, RWK); no DARPA naming; 0603767E 'sensor' overlap is generic.",
FA865119F1002,0605502E,low,not_darpa,account-only,,,"BLUE KRAIT SBIR Phase III at AFRL munitions directorate (McQ unattended sensors); no DARPA naming, no BLUE KRAIT narrative hit; 0605502E tag rests only on the word SBIR.",
FA875011C0254,0603760E,low,not_darpa,account-only,,,"ACCORD resilient-cyber-defense research, FY2011 AFRL Rome contract (Peraton Labs); no DARPA naming, no ACCORD narrative hit in candidate PEs.",
FA875013C0117,0603760E,low,not_darpa,account-only,,,"Space C2 coordinated-operations research, FY2013 AFRL Rome contract (predates DARPA Hallmark); no DARPA naming; C2-word overlap with 0603760E is generic.",
FA875016C0054,0602025E,medium,darpa_unpinned,unpinned-pool,,,"MANTESSA grid-cyber early-warning matches DARPA RADICS performer work (Vencore/Peraton Labs via AFRL Rome, 2017), but no candidate-PE narrative names it; current 0602025E/0602303E tags unsupported.",
FA875016C0054,0602303E,medium,darpa_unpinned,unpinned-pool,,,"MANTESSA grid-cyber early-warning matches DARPA RADICS performer work (Vencore/Peraton Labs via AFRL Rome, 2017), but no candidate-PE narrative names it; current 0602025E/0602303E tags unsupported.",
FA875016C0169,0603767E,medium,darpa_unpinned,unpinned-pool,,,"Sensor fingerprinting + processing-history recovery reads as DARPA MediFor media forensics (SRI performer via AFRL Rome, 2017), but no candidate-PE narrative names it; 0603767E 'sensor' tag is coincidental word overlap.",
FA875016C0177,0603760E,medium,darpa_unpinned,unpinned-pool,,Grid cyber-isolation/power-restoration matches DARPA RADICS (BAE was a public RADICS performer via AFRL/RI agent),"RADICS/PHOENIX absent from current-edition corpus (greps empty), so no PE pin; 0603760E tag unsupported",
FA875017C0163,0603767E,low,not_darpa,account-only,,,SOSI (Space Object Surveillance and Identification) is AF space-surveillance mission work at AFRL/RI; no corpus hit; 0603767E tag rests on generic sensor overlap,
FA875017C0166,0603760E,low,not_darpa,account-only,,,"AFRL multi-domain C2 test/integration (SC2MDTI), co-funded from AF 057-3600; no DARPA content, no corpus hit for SC2MDTI",
FA875017C0167,0603760E,low,not_darpa,account-only,,,Space C2 decision-support assistant for AFRL/RI; no DARPA content; no corpus hit (Hallmark also absent); 0603760E tag is generic C2-word overlap,
FA875018C0035,0602025E,low,insufficient,insufficient-evidence,,,Descriptions are 'EVIL - CLASSIFIED' and 'CYBER SECURITY' only; codename EVIL greps empty; no adjudicable content,
FA875018C0035,0602303E,low,insufficient,insufficient-evidence,,,Descriptions are 'EVIL - CLASSIFIED' and 'CYBER SECURITY' only; codename EVIL greps empty; no adjudicable content,
FA875018C0036,0602025E,low,insufficient,insufficient-evidence,,,Codenames CRAZY LEGS/EDSI plus generic 'CYBER SECURITY'; both grep empty in corpus; no adjudicable content,
FA875018C0036,0602303E,low,insufficient,insufficient-evidence,,,Codenames CRAZY LEGS/EDSI plus generic 'CYBER SECURITY'; both grep empty in corpus; no adjudicable content,
FA875018C0043,0602303E,low,insufficient,insufficient-evidence,,,Codename RACCOON with no subject matter; greps empty; no adjudicable content,
FA875018C0043,0602025E,low,insufficient,insufficient-evidence,,,Codename RACCOON with no subject matter; greps empty; no adjudicable content,
FA875018C0130,0602303E,low,not_darpa,account-only,,,'Interpretable and robust AI' is generic research phrasing; 'interpretable' absent from corpus; only DARPA tie is shared 097-0400 account,
FA875018C0130,0602025E,low,not_darpa,account-only,,,'Interpretable and robust AI' is generic research phrasing; 'interpretable' absent from corpus; only DARPA tie is shared 097-0400 account,
FA875019C0003,0602025E,medium,darpa_unpinned,unpinned-pool,,CHECRS is ASU's publicly documented performer project under DARPA CHESS (Computers and Humans Exploring Software Security),"CHESS/CHECRS absent from current-edition corpus (only newer E-BOSS mentions 'cyber reasoning'), so no PE pin",
FA875019C0003,0602303E,medium,darpa_unpinned,unpinned-pool,,CHECRS is ASU's publicly documented performer project under DARPA CHESS (Computers and Humans Exploring Software Security),"CHESS/CHECRS absent from current-edition corpus (only newer E-BOSS mentions 'cyber reasoning'), so no PE pin",
FA875019C0025,0602025E,medium,darpa_unpinned,unpinned-pool,,0601101E narrative: GARD 'developed techniques to defend against deception and other adversarial attacks on ML and AI systems'; HRL was a public GARD performer,Description names no program and GARD's PE placement shifted across editions; subject match alone does not pin,
FA875019C0025,0602303E,medium,darpa_unpinned,unpinned-pool,,0601101E narrative: GARD 'developed techniques to defend against deception and other adversarial attacks on ML and AI systems'; HRL was a public GARD performer,Description names no program and GARD's PE placement shifted across editions; subject match alone does not pin,
FA875019C0105,0602303E,low,not_darpa,account-only,,,MOIRAI greps empty (KAIROS too); multimodal-AI-interface subject is generic; only tie is shared 097-0400 account,
FA875019C0105,0602025E,low,not_darpa,account-only,,,MOIRAI greps empty (KAIROS too); multimodal-AI-interface subject is generic; only tie is shared 097-0400 account,
FA875019F0011,0602023E,low,not_darpa,account-only,,,ANACONDA greps empty; funded partly from Navy 017-1319 and AF 057-3600; no DARPA content; 0602023E tag is generic 'domain' word overlap,
FA881419C0010,0603760E,reject,contradicted,contradicted,,,"Explicitly a DoD Rapid Innovation Fund effort awarded by AF SMC space development office (FA8814) - an AF/OSD RIF project, not DARPA 0603760E/0602303E",
FA881419C0010,0602303E,reject,contradicted,contradicted,,,"Explicitly a DoD Rapid Innovation Fund effort awarded by AF SMC space development office (FA8814) - an AF/OSD RIF project, not DARPA 0603760E/0602303E",
